% Task id	Task location(GPS latitude)	Task location(GPS longtitude)
0001	22.73004117	114.2408795
0002	22.72704287	114.2996199
0003	22.70131065	114.2336007
0004	22.73235925	114.2866672
0005	22.71839144	114.2575495
0006	22.75392493	114.3819253
0007	22.72404221	114.2721836
0008	22.71937803	114.2732478
0009	22.73028254	114.2304955
0010	22.7187968	114.267027
0011	22.65746229	114.3476957
0012	22.71611614	114.2474716
0013	22.72986374	114.2939012
0014	22.746174	114.285869
0015	22.7333086	114.2943071
0016	22.74551648	114.2744633
0017	22.72282036	114.2654813
0018	22.72492675	114.2731306
0019	22.74551648	114.2744633
0020	22.75335785	114.285655
0021	22.72554895	114.2724564
0022	22.73048185	114.2297108
0023	22.75031119	114.2734629
0024	22.73832325	114.2906521
0025	22.72204702	114.2629243
0026	22.72837483	114.2928568
0027	22.73756811	114.2823889
0028	22.73188624	114.3028398
0029	22.74778137	114.2747219
0030	22.73658843	114.2961774
0031	22.74121631	114.2620083
0032	22.70831192	114.2434107
0033	22.73658843	114.2961774
0034	22.65746229	114.3476957
0035	22.73385612	114.2613534
0036	22.73305308	114.3011875
0037	22.732721	114.261045
0038	22.73287891	114.2611436
0039	22.65746229	114.3476957
0040	22.73581545	114.2735094
0041	22.73156241	114.2875823
0042	22.7167929	114.2703179
0043	22.72610429	114.2414213
0044	22.70601576	114.2416887
0045	22.70584501	114.2428698
0046	22.65746229	114.3476957
0047	22.71886556	114.2658133
0048	22.73806842	114.2664469
0049	22.73841361	114.2769492
0050	22.69864675	114.2417616
0051	22.719527	114.265143
0052	22.65746229	114.3476957
0053	22.72230496	114.2514128
0054	22.71929156	114.2602181
0055	22.73305324	114.2761711
0056	22.71670893	114.2452346
0057	22.72171594	114.2780743
0058	22.73079366	114.2683862
0059	22.71392643	114.237995
0060	22.72085613	114.247361
0061	22.73008534	114.3031914
0062	22.72504817	114.2923585
0063	22.71013195	114.2495414
0064	22.73597693	114.2767908
0065	22.73319874	114.2894757
0066	22.72256534	114.2786661
0067	22.73007657	114.3032102
0068	22.72538813	114.2953439
0069	22.73815392	114.2569106
0070	22.72951735	114.2401706
0071	22.72391473	114.2957052
0072	22.72951735	114.2401706
0073	22.72370574	114.2917726
0074	22.74288185	114.2883525
0075	22.7243195	114.261971
0076	22.72428899	114.2620111
0077	22.65746229	114.3476957
0078	22.72426525	114.296727
0079	22.70931634	114.2465701
0080	22.73052926	114.2806588
0081	22.72020559	114.2920284
0082	22.69916025	114.2432151
0083	22.7870271	114.3308735
0084	22.71626246	114.2704209
0085	22.73533826	114.2594777
0086	22.70468225	114.234143
0087	22.70289012	114.2364959
0088	22.73310324	114.2772374
0089	22.70049094	114.2406953
0090	22.73198737	114.2326041
0091	22.71811748	114.2480026
0092	22.71823136	114.248542
0093	22.73315615	114.2976629
0094	22.7308492	114.2427673
0095	22.71448951	114.2443288
0096	22.74160353	114.2875816
0097	22.72943188	114.2668519
0098	22.729348	114.279054
0099	22.69963949	114.1445579
0100	22.73636566	114.2858926
0101	22.74680488	114.2693444
0102	22.72312465	114.2747366
0103	22.75419616	114.284078
0104	22.72852163	114.2297897
0105	22.70933559	114.2612754
0106	22.73393225	114.2489042
0107	22.73393225	114.2489042
0108	22.71142907	114.2635062
0109	22.7001461	114.2400287
0110	22.65746229	114.3476957
0111	22.57170781	113.9054286
0112	22.69916025	114.2432151
0113	22.58012226	113.8844056
0114	22.57806395	113.8930076
0115	22.57091037	113.9009025
0116	22.72726491	114.3009914
0117	22.73389406	114.2396681
0118	22.56992336	113.9013757
0119	22.58035946	113.8984183
0120	22.56561999	113.8947079
0121	22.56910214	113.8860951
0122	22.57170781	113.9054286
0123	22.55822386	114.0818804
0124	22.58410432	113.9122078
0125	22.57987513	113.8978568
0126	22.57712134	113.8638951
0127	22.57170781	113.9054286
0128	22.57168291	113.8877469
0129	22.57303132	113.8814413
0130	22.57267667	113.8805319
0131	22.58175242	114.1113526
0132	22.58590837	113.8689944
0133	22.57243072	113.8808339
0134	22.58240219	113.9123868
0135	22.58505996	113.8804038
0136	22.5831793	113.8718454
0137	22.56485883	113.9045792
0138	22.58594296	113.8795634
0139	22.56657119	113.9046491
0140	22.58756183	113.9117972
0141	22.58448467	113.9136259
0142	22.5736525	113.8819075
0143	22.58141842	113.9088748
0144	22.58208009	113.9149636
0145	22.59600774	113.8942174
0146	22.58466698	113.9117696
0147	22.58197694	113.9099919
0148	22.58483596	113.907636
0149	22.58198463	113.9089284
0150	22.57383761	113.8956075
0151	22.70743279	113.9300131
0152	22.58376293	113.905228
0153	22.58666121	113.9091719
0154	22.58336455	113.8930415
0155	22.57119236	113.8871773
0156	22.58133203	113.9072224
0157	22.570735	113.888782
0158	22.58551616	113.8933101
0159	22.59407372	113.8948922
0160	22.58541388	113.8931929
0161	22.58551616	113.8933101
0162	22.60766566	113.8585519
0163	22.57622074	113.8767875
0164	22.56510124	113.8858711
0165	22.5931062	113.9021913
0166	22.58700738	113.9231605
0167	22.58750507	113.9071832
0168	22.59051277	113.8960994
0169	22.57711212	113.873867
0170	22.58732409	113.9078329
